Id,Label,timeset,attr_type,global_occurrences,attr_2,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,isperiphery,iscenter,Cluter-ID,Cluster,modularity_class,stat_inf_class,clustering,eigencentrality
username_46a99339dea5a1585cca3e24f5c22036,12bot9,,username,1,4544927476,12 “another tenant” 9,Enjoy the machine,[],148,855,25729,1466098809117806592,1466098809117806592,en,2021-12-01 17:36:09+00:00,RT @DDDrewDaniel: R.I.P. Alvin Lucier. Gutted to hear of this loss to experimental music. If you want a path into the work and haven't yet…,98,0,0,0,[],[],DDDrewDaniel,Alvin Lucier,[],[],1466092382059859970,1061650514,retweeted,0,1,1,0,1,1,10,1,1,0,0,0.005662,0.000155,2,19,false,false,948,6,217,307,0,0
username_f0c56db2e3a8589acdb7d53f039c5316,138ch,,username,2,183583881,138ch,勝手に逃げろ/人生,昨日の世界,198,288,64298,1466163711698415616 | 1466295342216118272,1466163711698415616 | 1466295342216118272,en | ja,2021-12-01 21:54:03+00:00 | 2021-12-02 06:37:06+00:00,"RT @amass_jp: 実験音楽を代表する音楽家アルヴィン・ルシエ（Alvin Lucier）が死去。90歳でした。実験音楽やサウンド・パフォーマンスといった未聞の概念の形成に貢献したその作品群は、音楽という枠を超えて、人と環境の関わりを探求する新しい芸術として高く評価され… | RT @pitchfork: Alvin Lucier, an experimental composer who was known for his avant-garde works and sound installations, has died https://t.c…",28 | 48,0,0,0,[],[],amass_jp | pitchfork,Alvin Lucier,[],[],1466158950177558534 | 1466240183834390533,14089195 | 229188693,retweeted,0,2,2,0,2,2,9,1,1,0,0,0.000682,0.000155,2,21,false,false,948,25,815,112,0,0
username_851d91abe6f6735972dea542cd8f8fce,19f3_records,,username,1,1522536588,"KEK-W, w-writer!","Writer for hire.  He / Him.  Judge Death / Judge Dredd / 2000AD, AHOY Comics, Storyworlds, Image Comics, Commando, Misty.   Tumblr: https://t.co/PNfFCQzL4L",[],3714,195,33495,1466360406973235200,1466360406973235200,en,2021-12-02 10:55:39+00:00,RT @vluba: RIP ALVIN LUCIER 😢 https://t.co/C1BJxvl7xU,1,0,0,0,[],[],vluba,ALVIN LUCIER,https://www.instagram.com/p/CW9Jm1nPHNh/?utm_medium=twitter,[],1466158619016245254,82421228,retweeted,0,1,1,0,1,1,-1,1,1,0,0,0,0.000155,4,23,false,false,4,223,3,3,0,0
username_d939751259861757af5e2fde8cc8ebde,1_800_wht_nxt,,username,1,1375430281,NELLI,🐐,Way Up,618,1395,10746,1466132408776884224,1466132408776884224,en,2021-12-01 19:49:40+00:00,RT @JWilliger: RIP Alvin Lucier - wow. The way I think about the intersection of sound and music and how one becomes the other and vice ver…,45,0,0,0,[],[],JWilliger,Alvin Lucier,[],[],1466095234069282830,1135789728,retweeted,0,1,1,0,1,1,11,0.35,0.428571,0,0,0.002671,0.000155,2,24,false,false,948,5,461,902,0,0
username_4542de578a41164a0e76c7ff5640a50b,1_d1t,,username,1,1280643183651827712,D1T | Da’ #1 Trend,"D1T | Da’ #1 Trend is a independent recording artist, song writer,   producer and lyrist.",Midwest,670,139,64067,1466157169233907712,1466157169233907712,en,2021-12-01 21:28:03+00:00,"Alvin Lucier, inquisitive and innovative composer, has died at 90 https://t.co/tMW8kMW9fo",1,0,0,0,[],[],[],Alvin Lucier,http://dlvr.it/SDZCSQ,[],[],[],[],1,0,1,1,0,1,-1,0,0,0,0,0,0.000286,5,25,false,false,5,151,4,254,0,0.003261
username_784f80370ee8cd157d0866126efef4eb,1gymholradio,,username,1,992371832060825600,1GymholRadio,Ο 1GymholRadio Είναι ο διαδικτυακός ραδιοφωνικός σταθμός του 1ου Γυμνάσιου Χολαργού που παίζει τα αγαπημένα σου τραγούδια του χθες και τις μεγαλύτερες επιτυχίες,[],9,2,6308,1466160403533209600,1466160403533209600,ca,2021-12-01 21:40:54+00:00,"#1GymholRadio - #Music - #MusicNews Alvin Lucier, Experimental Composer, Dies at 90  https://t.co/lhKKMmpyta https://t.co/pg2pdkQD6D",0,0,0,0,[],[],[],[],"https://ift.tt/3DkLERG, https://twitter.com/1gymholradio/status/1466160403533209601/photo/1","1GymholRadio, Music, MusicNews",[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,6,26,false,false,6,234,5,4,0,0
username_38a552d0f4268fa1ce0d8afa4c99d073,1tasu1ha,,username,2,129383495,1+1=,,野となれ山となれ,431,64,50250,1466325754325524480 | 1466341906133094400,1466325754325524480 | 1466341906133094400,en | ja,2021-12-02 08:37:57+00:00 | 2021-12-02 09:42:08+00:00,RT @masayanakahara: R.I.P.  alvin lucier | RT @takashi531: アルヴィン・ルシエの訃報  今、天国の椅子に座っているはず。 https://t.co/XX5dFeqMnl,7 | 9,0,0,0,[],[],masayanakahara | takashi531,R.I.P. alvin | アルヴィン・ルシエ,[] | https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html,[],1466132929063518213 | 1466183552199184384,1874442852 | 94565354,retweeted,0,2,2,0,2,2,9,0.75,0.833333,0,0,0.000319,0.000155,2,30,false,false,948,65,466,399,0,0
username_087db064dd2145fb4a53124cb4980dc1,24truetonetenor,,username,3,756274479303647232,Ethan L.,"Hi, I'm me. I go to Southern Miss, major in chemistry, minor in music, play clarinet, sax, oboe, & do other random stuff too. (he/him or they/them.)","Huntsville AL+Hattiesburg MS ",946,1714,98852,1466100680721117184 | 1466100893410078720 | 1466186324398981120,1466100680721117184 | 1466100893410078720 | 1466186324398981120,en,2021-12-01 17:43:35+00:00 | 2021-12-01 17:44:26+00:00 | 2021-12-01 23:23:54+00:00,"RT @MisterLies: Alvin Lucier is dead.   Words cannot describe the impact of this man's contribution to experimental music, psychoacoustics,… | RT @NormalComposers: Alvin Lucier sitting in a garden. https://t.co/OOa1w1vEiZ | RT @_GregStuart: One of the best to ever do it. RIP Alvin Lucier. https://t.co/RgBrFoVGEC",205 | 32 | 62,0,0,0,[],[],MisterLies | NormalComposers | _GregStuart,Alvin Lucier,[] | https://twitter.com/NormalComposers/status/1419415906141212673/photo/1 | https://twitter.com/_GregStuart/status/1466117818483720205/photo/1,[],1419415906141212673 | 1466085153076387842 | 1466117818483720205,2358169944 | 498525627 | 772605147079856128,retweeted,0,3,3,0,3,3,11,1,1,0,0,0.057683,0.000155,2,33,false,false,948,18,57,508,0,0
username_a8fadfdb98a89f749858b48b159ad022,2bbb,,username,1,12630532,ω･`)にべべb,トキメキノイズアイドル、プログラマー、永遠のコードモンキー。末端冷え性。c++とjsの下手の横好き。,家,1667,996,271829,1466276316576030720,1466276316576030720,es,2021-12-02 05:21:30+00:00,え、alvin lucier...,0,0,1,0,[],[],[],[],[],[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,7,34,false,false,7,235,6,5,0,0
username_6626f059b388ce6826e782807056778b,30lbsofbone,,username,3,202794535,30lbs of bone/J.Lynch,Johny Lamb. music noise fuzz tears lies salt https://t.co/iZsjWk31Is,[],538,196,7328,1466117921181077504 | 1466118405455441920 | 1466268858243850240,1466117921181077504 | 1466118405455441920 | 1466268858243850240,en,2021-12-01 18:52:06+00:00 | 2021-12-01 18:54:01+00:00 | 2021-12-02 04:51:52+00:00,"Alvin Lucier. Sad about that. | RT @tomparkinson: Alvin Lucier’s music has had an immeasurable impact on how I live, hear and work. Here’s an account of going to see him i… | RT @ubuweb: Alvin Lucier (1931-2021), Audio Archive: performances, music, documentary [MP3]: https://t.co/0JZqdT6n2z https://t.co/WFvCpckv73",0 | 1 | 163,0,0 | 2,0,[],[],[] | tomparkinson | ubuweb,Alvin Lucier,"[] | https://ubu.com/sound/lucier.html, https://twitter.com/ubuweb/status/1466153660052873216/photo/1",[],1466106329693667332 | 1466153660052873216 | [],185977768 | 38993997 | [],[] | retweeted,0,2,2,0,2,2,10,0.75,0.833333,0,0,0.009014,0.000155,2,38,false,false,948,152,104,513,0,0
username_f81106b20f66670815e1fc7ce217596d,333_jrf_333,,username,1,1230897192765882368,James Robert Foster,"I create things and I have thoughts. Surrealist Intermedia Artist, Double Bassist, Multi-Instrumentalist, and Composer of Music headquartered in Atlanta.",Atlanta,56,403,452,1466395594629517312,1466395594629517312,en,2021-12-02 13:15:28+00:00,"RT @RupertPupkin__: Gordon Mumma, Barbara Dilley, Mary Lucier, Alvin Lucier, David Behrman, Shigeko Kubota, Robert Ashley, Mary Ashley.  Al…",46,0,0,0,[],[],RupertPupkin__,"Gordon Mumma, Barbara Dilley, Mary Lucier, Alvin Lucier, David Behrman, Shigeko Kubota, Robert Ashley, Mary Ashley",[],[],1466158658815942666,578101456,retweeted,0,1,1,0,1,1,9,1,1,0,0,0.002377,0.000155,2,39,false,false,948,8,104,513,0,0
username_dd7870ae117868e78d1e161961f0aa85,33mhz,,username,1,2078071,Pup Gaylord 🦴🐶🐾,Yearning for an Urning,"Laredo, TX",1134,1512,57599,1466292896601198592,1466292896601198592,en,2021-12-02 06:27:23+00:00,RT @OhPoorPup: RIP Alvin Lucier..... 😭😭😭  https://t.co/OngW3c0ApE,1,0,0,0,[],[],OhPoorPup,Alvin Lucier,https://www.youtube.com/watch?v=TXgGfuLztXo,[],1466190472158724096,547294860,retweeted,0,1,1,0,1,1,-1,1,1,0,0,0,0.000155,8,41,false,false,8,153,7,6,0,0
username_bf5a996561c279aa4b5ff4656e152dfd,3eravoz,,username,1,1434728563886936064,LA TERCERA VOZ,Periodismo Inclusivo - Medio Noticioso Digital que quiere incluir a quienes siempre han estado silenciados por el poder,"Maracaibo, Venezuela",298,117,33079,1466484565204246528,1466484565204246528,es,2021-12-02 19:09:00+00:00,"Muere a los 90 años Alvin Lucier, pieza clave de la historia del arte sonoro https://t.co/IFChmxARv7",0,0,0,0,[],[],[],Alvin Lucier,https://3eravoz.com/cultura/muere-a-los-90-anos-alvin-lucier-pieza-clave-de-la-historia-del-arte-sonoro/,[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,9,42,false,false,9,236,8,7,0,0
username_0fc63e8ea67a876596393b32810a4066,3goddezz,,username,2,22951583,Nina Sammons,Save Venezia for the planet's heritage. Writer and filmmaker.,USA,202,746,3154 | 3155,1467127607330287616,1467127607330287616,en,2021-12-04 13:44:14+00:00,"Alvin Lucier, inquisitive and innovative composer, has died at 90 https://t.co/oiJbYKYw52",0,0,0,0,[],[],[],Alvin Lucier,https://www.npr.org/2021/12/01/1060591230/alvin-lucier-inquisitive-and-innovative-composer-has-died-at-90?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,10,43,false,false,10,237,9,8,0,0
username_5256ca0279e52fb6bb7420bf7069d101,3particles,,username,2,590295379,richard chartier,sound artist / composer • @LINEimprint curator • Pinkcourtesyphone @pinkcourtesy • 'between two points' show on @dublab • loves cats & cacti,"los angeles, california",5389,792,21572,1466086289061519360 | 1466126329825267712,1466086289061519360 | 1466126329825267712,en,2021-12-01 16:46:24+00:00 | 2021-12-01 19:25:30+00:00,RIP Alvin Lucier.  thank you for allowing us to explore resonances with you for so long............................ | RT @geetadayal: From an email Alvin Lucier sent me in 2014-“The origins of speech and music are mysterious. One cannot be sure which came f…,16 | 70,0 | 2,0 | 162,0 | 3,[],[],[] | geetadayal,Alvin Lucier,[],[],1466125872675524608 | [],16932590 | [],[] | retweeted,15,1,16,15,1,16,10,1,1,15,0.0054,0.004003,0.001514,2,44,false,false,948,29,333,582,0.008333,0.050356
username_030f06f65a8fddb23980e9a4ecdc7e9b,3qd,,username,2,47074090,3 Quarks Daily,Science Arts Literature Politics Philosophy Gossip,New York City,7195,168,31291,1467477808255541248,1467477808255541248,ca,2021-12-05 12:55:48+00:00,Alvin Lucier (1931 – 2021) experimental composer https://t.co/BEv6K7R9pV,0,0,0,0,[],[],[],[],https://ift.tt/3dm4UDz,[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,11,45,false,false,11,238,10,9,0,0
username_589b94028f81a123bfefd5e073e07168,3toncinema,,username,1,546945433,3TON,16MM #film orphanage & itinerant #microcinema ◈ est. in SF/OAK CA 2009 by @LaSkfArVoRtoK + @cOURTESYcOPY ◈ #smallgauge #footage ◈ (tweets by c.C.),LOS ANGELES,514,1859,2243,1466529751409987584,1466529751409987584,en,2021-12-02 22:08:34+00:00,Part 2 of this classic mix begins with Alvin Lucier (“I Am Sitting In A Room”) — followed by Pierre Schaeffer (“Etude aux Chemins De Fer”) https://t.co/RWsUsu47wg,1,1,2,0,[],[],[],"Alvin Lucier, Pierre Schaeffer",https://media.sas.upenn.edu/pennsound/authors/DJFood/DJ_Food_-_Raiding_the_20th_century.mp3,[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,12,46,false,false,12,239,11,10,0,0
username_ef57a0c9cb481bb0fda70904fac00b0f,411emilio,,username,2,2679109831,emilio lindosa lucas,,[],4258,666,667336,1466620205799407616 | 1466642038607200256,1466620205799407616 | 1466642038607200256,en,2021-12-03 04:08:00+00:00 | 2021-12-03 05:34:45+00:00,"RT @GlasgowSeries: we at GEMS are saddened to hear of the passing of Alvin Lucier, 1931-2021, whose work has been a major influence and ins… | RT @reaktorplayer: Alvin Lucier, who saw sonic poetry in pencils and soundscapes everywhere, has died (Create Digital Music) : https://t.co…",4 | 5,0,0,0,[],[],GlasgowSeries | reaktorplayer,Alvin Lucier,[],[],1466391389823029262 | 1466580637847011330,1322984712382631936 | 16147002,retweeted,0,2,2,0,2,2,11,1,1,0,0,0.000237,0.000155,2,49,false,false,948,49,226,374,0,0
username_47d493631ca7eefa981d8c706ed97f81,4444iam,,username,1,508868923,(((44(-_-)44))),May the 4s be with you,My Area,523,607,14072,1466378604774936576,1466378604774936576,en,2021-12-02 12:07:58+00:00,"RT @nprmusic: From music made from brain waves to gamelan instruments reworked for amplifiers and loudspeakers, Alvin Lucier rewired how we…",24,0,0,0,[],[],nprmusic,Alvin Lucier,[],[],1466225630878613504,13784592,retweeted,0,1,1,0,1,1,11,0.666667,0.75,0,0,0.001626,0.000155,2,51,false,false,948,10,275,11,0,0
username_0fcb4b677fb7e34ad7985a5009fff127,4min33seg,,username,2,1441806654,4'33'' Café,Un proyecto cultural. Un espacio dedicado a la difusión de raras y creativas músicas hechas aquí y allá. De Barcelona.,Barcelona,1338,3546,3796,1466209698097553408 | 1466347845712232448,1466209698097553408 | 1466347845712232448,en,2021-12-02 00:56:47+00:00 | 2021-12-02 10:05:44+00:00,"RT @ubuweb: Alvin Lucier (1931-2021), Audio Archive: performances, music, documentary [MP3]: https://t.co/0JZqdT6n2z https://t.co/WFvCpckv73 | RT @ubuweb: Alvin Lucier, ""Music with Roots in the Aether"" (Robert Ashley, 1975): https://t.co/jUBq6IuCO2  Includes:  -- Interview/Landscap…",163 | 41,0,0,0,[],[],ubuweb,"Alvin Lucier | Alvin Lucier, Music with Roots in the Aether, Robert Ashley","https://ubu.com/film/aether_lucier.html | https://ubu.com/sound/lucier.html, https://twitter.com/ubuweb/status/1466153660052873216/photo/1",[],1466153660052873216 | 1466154544765804545,38993997,retweeted,0,1,1,0,1,1,10,0.666667,0.75,0,0,0.008985,0.000155,2,52,false,false,948,1,104,513,0,0
username_f5ef13bc9eeee9ab84cef19abf95a8bc,5231n_1324o,,username,1,2153592890,WTF,Ein Alptraum aus Punk und Dekadenz - Here for the gossip,Berlin,124,906,4871,1466113257668759552,1466113257668759552,de,2021-12-01 18:33:34+00:00,"RT @UltraschallB: ""I am sitting in a room.""  ""I am sitting in heaven.""   Alvin Lucier ist gestorben. Möge er in Frieden ruhen.   https://t.…",7,0,0,0,[],[],UltraschallB,[],[],[],1466105910514831362,4764959478,retweeted,0,1,1,0,1,1,-1,1,1,0,0,0,0.000155,13,54,false,false,13,79,880,992,0,0
username_ad9c85c6bed74755fca364d3d7295dad,554mariposa,,username,1,187300578,KG,writer & artist 4 hire Ƹ̵̡Ӝ̵̨̄Ʒ avi by @hfayefaye,"Brooklyn, NY",1032,2505,9861,1466211849083535360,1466211849083535360,en,2021-12-02 01:05:20+00:00,alvin lucier :o now sitting in a room in the sky,0,0,5,0,[],[],[],alvin lucier,[],[],[],[],[],0,0,0,0,0,0,-1,0,0,0,0,0,0.000155,14,55,false,false,14,240,12,12,0,0
username_60c45bd77bfe3b5c6dcca644f3400e0a,59neu,,username,4,14340072,courtney,https://t.co/EOw9uIKdR8／https://t.co/ur358MlOoV 「」PHX AZ USA Ͱ҉͞҉͟҉͞҉͟҉͞ ⁠ ⁠ ⁠⁠ ⁠ ⁠ ⁠ ⁠ 音楽music・designer・streamer ⁠ ⁠⁠ ⌬ ⁠⁠ ⁠ 日本語学生 🎴,ه҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈̿҈Ͱ͟҉,591,940,35702,1467450414060564480 | 1467450499574026240,1467450414060564480 | 1467450499574026240,en,2021-12-05 11:06:57+00:00 | 2021-12-05 11:07:17+00:00,"RT @zzzzaaaacccchhh: I wrote about Alvin Lucier, an experimental music visionary and a hero of mine, and what it was like to take his class… | feeling near heartbroken at the loss of Alvin Lucier. May 14, 1931 – December 1, 2021. he was 90 years old, i am glad he lived a long life https://t.co/dOoD8QogEv",0 | 21,0,0,0,[],[],[] | zzzzaaaacccchhh,Alvin Lucier,[] | https://open.spotify.com/track/09pHNT4RIvhLui6eIi4HKO?si=FO4Fh91-Tj-gJzhbNiazMQ,[],1467155853761515520 | [],624762482 | [],[] | retweeted,0,1,1,0,1,1,11,0.285714,0.337121,0,0,0.000919,0.000155,2,65,false,false,948,26,217,361,0,0
username_826c190f350d777323b57d4de425f2f8,5against4,,username,1,27053819,5:4,"Dr Simon Cummings: composer, writer, researcher, professional listener, musical doctor, Mahlerphile, peanut butter connoisseur.",NewMusicLand,2006,146,16937,1466194141092716544,1466194141092716544,en,2021-12-01 23:54:58+00:00,RT @NormalComposers: Alvin Lucier sitting in a garden.   RIP Alvin Lucier (1931 - 2021) https://t.co/IBaEhH68NK,303,0,0,0,[],[],NormalComposers,"Alvin Lucier, Alvin Lucier",https://twitter.com/NormalComposers/status/1466123599157334029/photo/1,[],1466123599157334029,2358169944,retweeted,0,1,1,0,1,1,11,1,1,0,0,0.054403,0.000155,2,66,false,false,948,241,843,449,0,0
