,author_id,username,display_name,author_desc,author_location,followers,following,tweets count,tweet date,tweet_id,tweet_lang,tweet_reply,text,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_tweets,geo,annotations,urls,mentions,hashtags,clean_mentions,clean_annotations,clean_urls,clean_hashtags
130,2412724464,telepath_yukari,ْ,J-WAVE出演、国内盤ライナーノーツ執筆 ㊗️重版『ニューエイジ・ミュージック・ディスクガイド』（DU BOOKS）監修と編集。Disk Union傘下Super Fuji Discsにてシリーズ運営、現在3作品を発表。Spotify公式で選曲を担当。https://t.co/Ot0mroypY7,鳥取 米子市,5459,3636,38338,2021-12-02 07:35:51+00:00,1466310125031866368,ja,everyone,"2018年に観たAlvin Lucier@京大西部講堂。このときの公演に際して、Los Apsonが出張販売に来てたのが懐い。Oren Ambarchiを始めとした面々を含む、最大15人という大編成でのドローン/ミニマル。休憩も挟んで四時間に渡るパフォーマンスだった。

 Rest in peace #alvinlucier 🙏 https://t.co/F351wfRO4e",7,0,33,0,[],[],[],"[{'start': 21, 'end': 26, 'probability': 0.3337, 'type': 'Place', 'normalized_text': '京大西部講堂'}, {'start': 40, 'end': 48, 'probability': 0.4672, 'type': 'Organization', 'normalized_text': 'Los Apson'}, {'start': 63, 'end': 75, 'probability': 0.3653, 'type': 'Organization', 'normalized_text': 'Oren Ambarchi'}]","[{'start': 166, 'end': 189, 'url': 'https://t.co/F351wfRO4e', 'expanded_url': 'https://twitter.com/telepath_yukari/status/1466310125031866373/photo/1', 'display_url': 'pic.twitter.com/F351wfRO4e'}]",[],"[{'start': 151, 'end': 163, 'tag': 'alvinlucier'}]",[],"京大西部講堂, Los Apson, Oren Ambarchi",https://twitter.com/telepath_yukari/status/1466310125031866373/photo/1,alvinlucier
134,996296042483154944,notesonnoise1,N̲o̲t̲e̲n̲z̲u̲m̲G̲e̲r̲ä̲u̲s̲c̲h̲,"oud-scribent voor 𝕆𝕡𝕤𝕔𝕖𝕟𝕖, later d∩-ʇnƆ & blauwe maandag voor ꜰᴏxʏ ᴅɪɢɪᴛᴀʟɪꜱ. Noise, field recording, Neue Musik. Wyatting",[],317,499,42605,2021-12-02 07:25:31+00:00,1466307527927373824,nl,everyone,draai een recente Alvin Lucier-dubbelaar: Works for the Ever Present Orchestra (Black Truffle 2020) #AlvinLucier #RIP #np https://t.co/I0Kha3jARn,0,1,1,0,9.96296042483155e+17,"[{'type': 'replied_to', 'id': '1466116957082734601', 'text': 'Elegy for Albert Anastasia https://t.co/8udmd7cozG', 'reply_settings': 'everyone', 'lang': 'en', 'created_at': '2021-12-01T18:48:16.000Z', 'referenced_tweets': [{'type': 'replied_to', 'id': '1466093491151331331'}], 'entities': {'annotations': [{'start': 10, 'end': 25, 'probability': 0.9390000000000001, 'type': 'Person', 'normalized_text': 'Albert Anastasia'}], 'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/8udmd7cozG', 'expanded_url': 'https://youtu.be/ezyEe_jp_ag', 'display_url': 'youtu.be/ezyEe_jp_ag'}]}, 'public_metrics': {'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}, 'in_reply_to_user_id': '996296042483154944', 'author_id': '996296042483154944'}]",[],[],"[{'start': 122, 'end': 145, 'url': 'https://t.co/I0Kha3jARn', 'expanded_url': 'https://twitter.com/notesonnoise1/status/1466307527927373825/photo/1', 'display_url': 'pic.twitter.com/I0Kha3jARn'}, {'start': 122, 'end': 145, 'url': 'https://t.co/I0Kha3jARn', 'expanded_url': 'https://twitter.com/notesonnoise1/status/1466307527927373825/photo/1', 'display_url': 'pic.twitter.com/I0Kha3jARn'}]",[],"[{'start': 100, 'end': 112, 'tag': 'AlvinLucier'}, {'start': 113, 'end': 117, 'tag': 'RIP'}, {'start': 118, 'end': 121, 'tag': 'np'}]",[],[],"https://twitter.com/notesonnoise1/status/1466307527927373825/photo/1, https://twitter.com/notesonnoise1/status/1466307527927373825/photo/1","AlvinLucier, RIP, np"
159,26548173,nerdsattack,Nerds Attack!,"The art of Music since 2002 + Cinema, TV, sport…",Rome,2546,270,49051,2021-12-02 06:29:37+00:00,1466293460256833536,it,everyone,"Alvin Lucier - RIP

#AlvinLucier https://t.co/CTMQwJAOgI",0,0,0,0,[],[],[],[],"[{'start': 33, 'end': 56, 'url': 'https://t.co/CTMQwJAOgI', 'expanded_url': 'https://twitter.com/nerdsattack/status/1466293460256833537/photo/1', 'display_url': 'pic.twitter.com/CTMQwJAOgI'}]",[],"[{'start': 20, 'end': 32, 'tag': 'AlvinLucier'}]",[],[],https://twitter.com/nerdsattack/status/1466293460256833537/photo/1,AlvinLucier
160,128475382,ds1_7f,ディスクユニオン 新宿ロックレコードストア,"2フロアに3万枚の在庫を取り揃えたレコード専門店です。ビギナーからコレクターまで、満足の品ぞろえでお待ちしております！
当店ブログでは新着品を毎日紹介中、下記リンク先よりチェックお願いします！

【E-MAIL】 ds13@diskunion.co.jp 【電話番号】03-6380-0235",東京都新宿区新宿3-34-12下菊ビル4F/5F,6361,4508,35327,2021-12-02 06:28:28+00:00,1466293168798777344,ja,everyone,"【新品】

#ALVINLUCIER 
/ BIRD AND PERSON DYNING 5,280円(税込)

実験電子音響グループ SONIC ARTS UNIONのメンバーとしても有名な実験音楽家ALVIN LUCIER。
Cramps Nova Musichaに残した大名盤 『朽人に寄り添う鳥』 がDIALOGOよりリマスターヴァイナルリイシュー🕊️

⇒https://t.co/TWY4dlN8kQ https://t.co/TFhzcfWboQ",0,0,2,0,[],[],[],"[{'start': 22, 'end': 43, 'probability': 0.24860000000000002, 'type': 'Organization', 'normalized_text': 'BIRD AND PERSON DYNING'}, {'start': 68, 'end': 83, 'probability': 0.7709, 'type': 'Organization', 'normalized_text': 'SONIC ARTS UNION'}, {'start': 115, 'end': 133, 'probability': 0.27840000000000004, 'type': 'Organization', 'normalized_text': 'Cramps Nova Musicha'}, {'start': 143, 'end': 150, 'probability': 0.6746, 'type': 'Other', 'normalized_text': '朽人に寄り添う鳥'}]","[{'start': 183, 'end': 206, 'url': 'https://t.co/TWY4dlN8kQ', 'expanded_url': 'http://blog-shinjuku-usedrock.diskunion.net/Entry/15889/', 'display_url': 'blog-shinjuku-usedrock.diskunion.net/Entry/15889/'}, {'start': 207, 'end': 230, 'url': 'https://t.co/TFhzcfWboQ', 'expanded_url': 'https://twitter.com/ds1_7f/status/1466293168798777347/photo/1', 'display_url': 'pic.twitter.com/TFhzcfWboQ'}]",[],"[{'start': 6, 'end': 18, 'tag': 'ALVINLUCIER'}]",[],"BIRD AND PERSON DYNING, SONIC ARTS UNION, Cramps Nova Musicha, 朽人に寄り添う鳥","http://blog-shinjuku-usedrock.diskunion.net/Entry/15889/, https://twitter.com/ds1_7f/status/1466293168798777347/photo/1",ALVINLUCIER
161,406092381,flx_suarez,Félix Suárez,,[],554,1455,4146,2021-12-02 06:23:53+00:00,1466292017273651200,en,everyone,"#DesayunoDeHoy Alvin Lucier - Bird And Person Dyning (Cramps Records, 1976)
https://t.co/ahJbME3hYo",0,0,2,0,[],[],[],[],"[{'start': 76, 'end': 99, 'url': 'https://t.co/ahJbME3hYo', 'expanded_url': 'https://youtu.be/lLNVoaRcb5s', 'display_url': 'youtu.be/lLNVoaRcb5s'}]",[],"[{'start': 0, 'end': 14, 'tag': 'DesayunoDeHoy'}]",[],[],https://youtu.be/lLNVoaRcb5s,DesayunoDeHoy
175,170716645,Deocliciano,Deocliciano Okssipin,"“The subject of human creativity is not an ethnic-centric, but a composite subject.”  — Anthony Braxton",Lisbon,93,1043,9694,2021-12-02 05:34:13+00:00,1466279514967793664,en,everyone,"Alvin Lucier: I am sitting in a room - November 9th, 2017

ISSUE Project Room

Alvin Lucier stages his seminal piece “I am sitting in a room” in ISSUE Project Room’s theater, on November 9, 2017.

via @issueproject on #Vimeo https://t.co/esZXibB99X",0,1,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9468000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}, {'start': 79, 'end': 90, 'probability': 0.6441, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 225, 'end': 248, 'url': 'https://t.co/esZXibB99X', 'expanded_url': 'https://vimeo.com/280769396?ref=tw-share', 'display_url': 'vimeo.com/280769396?ref=…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1466151377562791936/eEWzIEv6?format=jpg&name=orig', 'width': 1280, 'height': 720}, {'url': 'https://pbs.twimg.com/news_img/1466151377562791936/eEWzIEv6?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Alvin Lucier: I am sitting in a room - November 9th, 2017', 'description': 'Alvin Lucier stages his seminal piece ""I am sitting in a room"" in ISSUE Project Room\'s theater, on November 9, 2017.', 'unwound_url': 'https://vimeo.com/280769396?ref=tw-share'}]","[{'start': 201, 'end': 214, 'username': 'issueproject', 'id': '17958818'}]","[{'start': 218, 'end': 224, 'tag': 'Vimeo'}]",issueproject,"Alvin Lucier, Alvin Lucier",https://vimeo.com/280769396?ref=tw-share,Vimeo
178,1176529289186951168,RobertS42856666,Robert Schumann’s Ghost,"Ghost of Robert Schumann, composer of four symphonies, multiple concerti, chamber music, art song and more; Wife abandoned children after my death.",[],81,177,614,2021-12-02 05:28:13+00:00,1466278008147222528,en,everyone,Waiting for the inevitable other shoe to drop where someone reveals a traumatizing story about Alvin Lucier and everyone freaks out about the number of people lavishly praising him today #RIPAlvinLucier,0,0,0,0,[],[],[],"[{'start': 95, 'end': 106, 'probability': 0.9892000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]",[],[],"[{'start': 187, 'end': 202, 'tag': 'RIPAlvinLucier'}]",[],Alvin Lucier,[],RIPAlvinLucier
208,14403154,introspection,Guillaume Dumas,Dad · Husband · Social Physiologist · Prof. of CompΨ @UMontreal · PI @PPSP_Team @ChuSteJustine/@Mila_Quebec · Cofounder @ALIUSresearch/@HackResearch · He/Him,"Montréal, Canada",7474,3909,15043,2021-12-02 04:09:39+00:00,1466258233933406208,en,everyone,"Thanks Mr. Lucier for all the inspiration! #ShoulderOfGiants

https://t.co/lDhYQ7FAO0 https://t.co/MJVKRpcCgO",0,0,2,0,14403154.0,"[{'type': 'replied_to', 'id': '1466258228384260097', 'text': 'Then, few years later, I improvised an hommage to his “i am sitting in a room” with a radiotelescope for doing Earth-Moon-Earth feedback (EME or Moon bounce https://t.co/wK5LGsAh6K…) at @radiotelescoop thanks to the project https://t.co/CIVbewxPqc https://t.co/oFlumBoOdM', 'reply_settings': 'everyone', 'lang': 'en', 'created_at': '2021-12-02T04:09:38.000Z', 'referenced_tweets': [{'type': 'replied_to', 'id': '1466258223103680516'}], 'entities': {'annotations': [{'start': 111, 'end': 120, 'probability': 0.3367, 'type': 'Other', 'normalized_text': 'Earth-Moon'}], 'urls': [{'start': 157, 'end': 180, 'url': 'https://t.co/wK5LGsAh6K', 'expanded_url': 'https://en.wikipedia.org/wiki/Earth%E2%80%93Moon%E2%80%93Earth_communication', 'display_url': 'en.wikipedia.org/wiki/Earth%E2%…'}, {'start': 224, 'end': 247, 'url': 'https://t.co/CIVbewxPqc', 'expanded_url': 'https://cogitoinspace.org', 'display_url': 'cogitoinspace.org'}, {'start': 248, 'end': 271, 'url': 'https://t.co/oFlumBoOdM', 'expanded_url': 'https://twitter.com/introspection/status/1466258228384260097/photo/1', 'display_url': 'pic.twitter.com/oFlumBoOdM'}], 'mentions': [{'start': 186, 'end': 201, 'username': 'radiotelescoop', 'id': '217361703'}]}, 'public_metrics': {'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}, 'in_reply_to_user_id': '14403154', 'author_id': '14403154'}]",[],"[{'start': 7, 'end': 16, 'probability': 0.9749000000000001, 'type': 'Person', 'normalized_text': 'Mr. Lucier'}]","[{'start': 62, 'end': 85, 'url': 'https://t.co/lDhYQ7FAO0', 'expanded_url': 'https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html', 'display_url': 'nytimes.com/2021/12/01/art…'}, {'start': 86, 'end': 109, 'url': 'https://t.co/MJVKRpcCgO', 'expanded_url': 'https://twitter.com/introspection/status/1466258233933406208/photo/1', 'display_url': 'pic.twitter.com/MJVKRpcCgO'}]",[],"[{'start': 43, 'end': 60, 'tag': 'ShoulderOfGiants'}]",[],Mr. Lucier,"https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html, https://twitter.com/introspection/status/1466258233933406208/photo/1",ShoulderOfGiants
251,129030199,brentacol,brentacol,Official twitter page for BRENTACOL - Hill climbing (on a bicycle) in Rhode Island and beyond. Also defacto twitter account for Velomusicology.,Rhode Island,37,87,378,2021-12-02 02:41:16+00:00,1466235992126410752,en,everyone,"I am sitting in a room, and it is diminished by knowing that Alvin Lucier is no longer with us. #AlvinLucier  #listentothiswithanoscilloscopeinxymode https://t.co/puTKVxmM3g",0,0,0,0,[],[],[],"[{'start': 61, 'end': 72, 'probability': 0.9813000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 150, 'end': 173, 'url': 'https://t.co/puTKVxmM3g', 'expanded_url': 'https://www.youtube.com/watch?v=zGNLhD1WL9E', 'display_url': 'youtube.com/watch?v=zGNLhD…'}]",[],"[{'start': 96, 'end': 108, 'tag': 'AlvinLucier'}, {'start': 110, 'end': 149, 'tag': 'listentothiswithanoscilloscopeinxymode'}]",[],Alvin Lucier,https://www.youtube.com/watch?v=zGNLhD1WL9E,"AlvinLucier, listentothiswithanoscilloscopeinxymode"
256,3248681366,clare_m_cooper,Clare M. Cooper,"She/her. Improviser. USYD Design Lecturer. Grassroots organiser. #NTEU. Co-founder @frontyard_Inc, the NOW now, Design Activism @activismdesign on Gadigal land.","Sydney, New South Wales",401,906,603,2021-12-02 02:35:50+00:00,1466234625831751680,en,everyone,"Alvin Lucier introduced me to the physics of sound, the deep pleasure of sitting in a room, and the joys of tapping everything on a table with a pen. 
Peace out #AlvinLucier  
https://t.co/6H3SHUZEXM",2,0,9,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9816, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 176, 'end': 199, 'url': 'https://t.co/6H3SHUZEXM', 'expanded_url': 'https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html', 'display_url': 'nytimes.com/2021/12/01/art…'}]",[],"[{'start': 161, 'end': 173, 'tag': 'AlvinLucier'}]",[],Alvin Lucier,https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html,AlvinLucier
259,4538184735,oidosintrepidos,King Geedorah,,[],82,615,4299,2021-12-02 02:29:07+00:00,1466232934730502144,en,everyone,"Alvin Lucier has left the room
#RIP
 https://t.co/2OBGUkYmvd",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9916, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 37, 'end': 60, 'url': 'https://t.co/2OBGUkYmvd', 'expanded_url': 'https://youtu.be/fAxHlLK3Oyk', 'display_url': 'youtu.be/fAxHlLK3Oyk'}]",[],"[{'start': 31, 'end': 35, 'tag': 'RIP'}]",[],Alvin Lucier,https://youtu.be/fAxHlLK3Oyk,RIP
305,615185696,eRadioUS,E-Radio.US,"Non Stop e-Radio Music, Music & Arts News Portal, 70 Live Radio Music Stations, Local USA News for Sports, Breaking News, Health and many more, No Ads.",United States,2524,126,305973,2021-12-02 01:29:37+00:00,1466217961727877120,fr,everyone,"#e_RadioUS Alvin Lucier, Avant-Garde Composer, Dead At 90 https://t.co/qNQoYXTi1H",0,0,0,0,[],[],[],[],"[{'start': 58, 'end': 81, 'url': 'https://t.co/qNQoYXTi1H', 'expanded_url': 'https://e-radio.us/alvin-lucier-avant-garde-composer-dead-at-90/', 'display_url': 'e-radio.us/alvin-lucier-a…'}]",[],"[{'start': 0, 'end': 10, 'tag': 'e_RadioUS'}]",[],[],https://e-radio.us/alvin-lucier-avant-garde-composer-dead-at-90/,e_RadioUS
320,593318179,ButterscotchSt,Butterscotch Stanley,"Rock and roll music from Sacramento, CA.","Sacramento, CA",127,328,1169,2021-12-02 01:01:52+00:00,1466210975770562560,en,everyone,"Alvin Lucier, inquisitive and innovative composer, has died at 90 https://t.co/5CNeCqG3cv #ripalvinlucier #Legend",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9822000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 66, 'end': 89, 'url': 'https://t.co/5CNeCqG3cv', 'expanded_url': 'https://www.npr.org/2021/12/01/1060591230/alvin-lucier-inquisitive-and-innovative-composer-has-died-at-90?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social', 'display_url': 'npr.org/2021/12/01/106…'}]",[],"[{'start': 90, 'end': 105, 'tag': 'ripalvinlucier'}, {'start': 106, 'end': 113, 'tag': 'Legend'}]",[],Alvin Lucier,https://www.npr.org/2021/12/01/1060591230/alvin-lucier-inquisitive-and-innovative-composer-has-died-at-90?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social,"ripalvinlucier, Legend"
338,1060891093,garybarwin,Moribund Facekvetch (he/him),"📚+🎵 + 🎨= ‽ • Books: Nothing the Same Everything Haunted • Yiddish for Pirates (Leacock Award, Finalist: GG & Giller Prize) • Poetry:Bird Arsonist w/Tom Prime","Hamilton, Ontario, Canada",3170,2292,10132,2021-12-02 00:35:14+00:00,1466204274669625344,en,everyone,"I read a list of nouns for Alvin Lucier [in memoriam] (version with dogs)
https://t.co/TKUu2gDO2W

#AlvinLucier",0,0,1,0,[],[],[],"[{'start': 27, 'end': 38, 'probability': 0.9738, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 74, 'end': 97, 'url': 'https://t.co/TKUu2gDO2W', 'expanded_url': 'https://drive.google.com/file/d/1pd-VwUOvaEl5f7hn_XzJ5H6ZLyelXote/view?usp=sharing', 'display_url': 'drive.google.com/file/d/1pd-VwU…'}]",[],"[{'start': 99, 'end': 111, 'tag': 'AlvinLucier'}]",[],Alvin Lucier,https://drive.google.com/file/d/1pd-VwUOvaEl5f7hn_XzJ5H6ZLyelXote/view?usp=sharing,AlvinLucier
353,749182464636116992,CitroenCX,🅲🅷🆁🅸🆂,French Car @memorialdevice ANT 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇮🇪,"Clydebank, Scotland",1720,1557,29216,2021-12-02 00:09:46+00:00,1466197867727568896,en,everyone,Alvin Lucier - I Am Sitting in a Room #RIPAlvinLucier https://t.co/EO7qi8Be6u,0,1,2,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9873000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}, {'start': 15, 'end': 36, 'probability': 0.7285, 'type': 'Other', 'normalized_text': 'I Am Sitting in a Room'}]","[{'start': 54, 'end': 77, 'url': 'https://t.co/EO7qi8Be6u', 'expanded_url': 'https://youtu.be/bhtO4DsSazc', 'display_url': 'youtu.be/bhtO4DsSazc'}]",[],"[{'start': 38, 'end': 53, 'tag': 'RIPAlvinLucier'}]",[],"Alvin Lucier, I Am Sitting in a Room",https://youtu.be/bhtO4DsSazc,RIPAlvinLucier
359,15303772,jgrossnas,Jason Gross,"Writer/editor, music (over) enthusiast",NYC,2306,993,10625,2021-12-02 00:06:03+00:00,1466196930971713536,en,everyone,"RIP composer Alvin Lucier.  Was honored to include him in the OHM- Early Gurus of Electronic Music box set.  Here's an interview I did with him about his historic piece ""Music On A Long Thin Wire"" from 2000. https://t.co/EZcI08UQ4F #ClassicalMusic",1,0,3,0,[],[],[],"[{'start': 13, 'end': 24, 'probability': 0.9873000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 208, 'end': 231, 'url': 'https://t.co/EZcI08UQ4F', 'expanded_url': 'http://www.furious.com/perfect/ohm/lucier.html', 'display_url': 'furious.com/perfect/ohm/lu…'}]",[],"[{'start': 232, 'end': 247, 'tag': 'ClassicalMusic'}]",[],Alvin Lucier,http://www.furious.com/perfect/ohm/lucier.html,ClassicalMusic
405,1014517221991673856,cureghost,🍎🍏🍎,#nowplaying,[],18,1,5312,2021-12-01 23:08:29+00:00,1466182444051320832,en,everyone,"I Am Sitting in a Room - Alvin Lucier, Simone Conforti https://t.co/BBTqu6oTdR #nowplaying",0,0,0,0,[],[],[],"[{'start': 25, 'end': 36, 'probability': 0.9565, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}, {'start': 39, 'end': 53, 'probability': 0.9372, 'type': 'Person', 'normalized_text': 'Simone Conforti'}]","[{'start': 55, 'end': 78, 'url': 'https://t.co/BBTqu6oTdR', 'expanded_url': 'https://ift.tt/2owIxlf', 'display_url': 'ift.tt/2owIxlf'}]",[],"[{'start': 79, 'end': 90, 'tag': 'nowplaying'}]",[],"Alvin Lucier, Simone Conforti",https://ift.tt/2owIxlf,nowplaying
411,28603783,ICSOM,ICSOM,"International Conference of Symphony and Opera Musicians: tweets about orchestras, classical music, and the arts • Promoting unity among musicians everywhere",[],9883,6855,20642,2021-12-01 23:02:52+00:00,1466181028192653312,en,everyone,"Sad News: Alvin Lucier, Probing Composer of Soundscapes, Is Dead at 90 https://t.co/T2GrmiL0Ql #ClassicalMusic #arts",3,0,5,0,[],[],[],"[{'start': 10, 'end': 21, 'probability': 0.9490000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 71, 'end': 94, 'url': 'https://t.co/T2GrmiL0Ql', 'expanded_url': 'https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html?smid=tw-share', 'display_url': 'nytimes.com/2021/12/01/art…'}]",[],"[{'start': 95, 'end': 110, 'tag': 'ClassicalMusic'}, {'start': 111, 'end': 116, 'tag': 'arts'}]",[],Alvin Lucier,https://www.nytimes.com/2021/12/01/arts/music/alvin-lucier-dead.html?smid=tw-share,"ClassicalMusic, arts"
419,1152566113571627008,NPetersMusic,Nicholas Peters,Composer: shamanic/healing/ambient/drone music & theatre soundtracks; sound & mantra therapy practitioner; Dr of music-making/'Spiritual Musicking';🏳️‍🌈he/him,"Hale, Altrincham",592,939,993,2021-12-01 22:57:32+00:00,1466179689555316736,en,everyone,"Gutted to hear that Alvin Lucier, pioneer of electronic and experimental music and one of my biggest compositional inspirations has left us. #RIPAlvinLucier",0,0,1,0,[],[],[],"[{'start': 20, 'end': 31, 'probability': 0.9064000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]",[],[],"[{'start': 141, 'end': 156, 'tag': 'RIPAlvinLucier'}]",[],Alvin Lucier,[],RIPAlvinLucier
467,1420660507,Knewz_Currently,Woody,"Love my Family, my Harley, my Jeeps, beaches & music! You can never be old & wise if you were never young & crazy! Media tweets not necessarily my opinion.","Va Beach, Virginia",1626,87,2652669,2021-12-01 22:24:48+00:00,1466171448536416256,en,everyone,"Alvin Lucier, American avant-garde composer, dies aged 90 https://t.co/SAwAKeGhbV #NEWS https://t.co/bhhPibn6Y5",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9633, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 58, 'end': 81, 'url': 'https://t.co/SAwAKeGhbV', 'expanded_url': 'http://dlvr.it/SDZLMj', 'display_url': 'dlvr.it/SDZLMj'}, {'start': 88, 'end': 111, 'url': 'https://t.co/bhhPibn6Y5', 'expanded_url': 'https://twitter.com/Knewz_Currently/status/1466171448536416256/photo/1', 'display_url': 'pic.twitter.com/bhhPibn6Y5'}]",[],"[{'start': 82, 'end': 87, 'tag': 'NEWS'}]",[],Alvin Lucier,"http://dlvr.it/SDZLMj, https://twitter.com/Knewz_Currently/status/1466171448536416256/photo/1",NEWS
479,17229271,julienbayle,JULIEN BAYLE,artist • coder • teacher • running @structurevoid0 • #maxmsp #ableton certified trainer • based in France,48°52.5′S 123°23,3157,605,17125,2021-12-01 22:20:12+00:00,1466170293953740800,en,everyone,"Alvin Lucier will always reverberate in any room I come in, forever.
.
.
#alvinlucier #sound #art #rip https://t.co/rq3EpVwj27 https://t.co/QJGsEh2bDf",0,0,4,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9771000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 103, 'end': 126, 'url': 'https://t.co/rq3EpVwj27', 'expanded_url': 'https://instagr.am/p/CW9IiBpNx9X/', 'display_url': 'instagr.am/p/CW9IiBpNx9X/'}, {'start': 127, 'end': 150, 'url': 'https://t.co/QJGsEh2bDf', 'expanded_url': 'https://twitter.com/julienbayle/status/1466170293953740802/photo/1', 'display_url': 'pic.twitter.com/QJGsEh2bDf'}]",[],"[{'start': 73, 'end': 85, 'tag': 'alvinlucier'}, {'start': 86, 'end': 92, 'tag': 'sound'}, {'start': 93, 'end': 97, 'tag': 'art'}, {'start': 98, 'end': 102, 'tag': 'rip'}]",[],Alvin Lucier,"https://instagr.am/p/CW9IiBpNx9X/, https://twitter.com/julienbayle/status/1466170293953740802/photo/1","alvinlucier, sound, art, rip"
487,3740354003,MusicNews_b,Music Briefly,"A Music community with less noise & more highlights
on @briefly_tldr. Follow for an invite to join our open beta!",Internet,3100,4862,32411,2021-12-01 22:15:34+00:00,1466169125881798656,en,everyone,"Alvin Lucier, Experimental Composer, Dies at 90 (Pitchfork)

Experimental composer Alvin Lucier has died at the age of 90 at his home in Middletown, Conn...

Add your highlights:
https://t.co/cvqsoz4FON
 #Music #musician #m...",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9828, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}, {'start': 83, 'end': 94, 'probability': 0.9903000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}, {'start': 137, 'end': 146, 'probability': 0.9868, 'type': 'Place', 'normalized_text': 'Middletown'}, {'start': 149, 'end': 152, 'probability': 0.9463, 'type': 'Place', 'normalized_text': 'Conn'}]","[{'start': 179, 'end': 202, 'url': 'https://t.co/cvqsoz4FON', 'expanded_url': 'https://briefly.co/anchor/Music/story/alvin-lucier-experimental-composer-dies-at-90?hl=1&f=gubbeen&utm_source=Twitter&utm_medium=autotweet&utm_content=unhighlighted&utm_campaign=Music', 'display_url': 'briefly.co/anchor/Music/s…'}]",[],"[{'start': 204, 'end': 210, 'tag': 'Music'}, {'start': 211, 'end': 220, 'tag': 'musician'}, {'start': 221, 'end': 223, 'tag': 'm'}]",[],"Alvin Lucier, Alvin Lucier, Middletown, Conn",https://briefly.co/anchor/Music/story/alvin-lucier-experimental-composer-dies-at-90?hl=1&f=gubbeen&utm_source=Twitter&utm_medium=autotweet&utm_content=unhighlighted&utm_campaign=Music,"Music, musician, m"
506,1695990289,GOMusicNews,GO! Music,Watchinga Music brings the latest #music news to you real-time. Or keep what's hot at your fingertips directly via https://t.co/Eswg7j9idw,[],13,7,8139,2021-12-01 22:06:34+00:00,1466166862018854912,en,everyone,"Alvin Lucier, inquisitive and innovative composer, has died at 90 https://t.co/mA3OPonLGe #music #nowplaying",0,0,0,0,[],[],[],"[{'start': 0, 'end': 11, 'probability': 0.9822000000000001, 'type': 'Person', 'normalized_text': 'Alvin Lucier'}]","[{'start': 66, 'end': 89, 'url': 'https://t.co/mA3OPonLGe', 'expanded_url': 'http://dlvr.it/SDZHln', 'display_url': 'dlvr.it/SDZHln'}]",[],"[{'start': 90, 'end': 96, 'tag': 'music'}, {'start': 97, 'end': 108, 'tag': 'nowplaying'}]",[],Alvin Lucier,http://dlvr.it/SDZHln,"music, nowplaying"
